time,tag_id,distance,bearing
1778594555.6219232,48,0.328437,0.227142
1778594555.9552095,48,0.326776,0.226730
1778594555.9885383,48,0.326321,0.224264
1778594556.0218668,48,0.298063,0.236159
1778594556.0551956,48,0.296464,0.229092
1778594556.088524,48,0.295777,0.221521
1778594556.1218526,48,0.293243,0.216914
1778594556.1551814,48,0.291526,0.209481
1778594556.18851,48,0.289075,0.204796
1778594556.2218387,48,0.288986,0.197737
1778594556.2551677,48,0.288555,0.191678
1778594556.2884958,48,0.284985,0.183593
1778594556.3218246,48,0.288651,0.174617
1778594556.355153,48,0.293754,0.165444
1778594556.388482,48,0.302643,0.155022
1778594556.4218104,48,0.299113,0.148343
1778594556.455139,48,0.300177,0.138890
1778594556.4884677,48,0.300080,0.132217
1778594556.5217962,48,0.299799,0.122911
1778594556.5551264,48,0.300597,0.115921
1778594556.588454,48,0.301584,0.109138
1778594556.6217823,48,0.299331,0.101410
1778594556.6551108,48,0.300641,0.091404
1778594556.6884396,48,0.298250,0.080024
1778594556.7217684,48,0.296958,0.068868
1778594556.755097,48,0.296495,0.058303
1778594556.7884254,48,0.296288,0.051069
1778594556.8217542,48,0.296282,0.045001
1778594556.8550828,48,0.296439,0.035791
1778594556.8884115,48,0.297244,0.026267
1778594556.9217408,48,0.298947,0.013238
1778594556.9550693,48,0.301892,0.004523
1778594556.9883974,48,0.298424,-0.024811
1778594557.0218756,48,0.299371,-0.034594
1778594557.0552042,48,0.307261,-0.026651
1778594557.0885327,48,0.300910,-0.055756
1778594557.1218612,48,0.311078,-0.044804
1778594557.15519,48,0.304170,-0.073184
1778594557.1885185,48,0.305692,-0.082812
1778594557.221847,48,0.308208,-0.090084
1778594557.2551763,48,0.309266,-0.097754
1778594557.2885044,48,0.311521,-0.106532
1778594557.3218331,48,0.314117,-0.117339
1778594557.3551617,48,0.331909,-0.110831
1778594557.3884904,48,0.321179,-0.132730
1778594557.421819,48,0.322031,-0.138021
1778594557.4551475,48,0.323030,-0.148583
1778594557.4884763,48,0.315501,-0.156672
1778594557.5218048,48,0.317243,-0.164819
1778594557.5551336,48,0.311140,-0.173329
1778594557.5884626,48,0.310100,-0.180517
1778594557.6217906,48,0.308920,-0.188009
