time,tag_id,distance,bearing
1782920759.6392124,33,1.253604,-0.391706
1782920759.6392124,32,1.097682,0.068611
1782920759.6725416,33,1.253604,-0.391706
1782920759.6725416,32,1.116087,0.067659
1782920759.7058694,33,1.253604,-0.391706
1782920759.7058694,32,1.116087,0.067659
1782920759.7725275,33,1.253604,-0.391706
1782920759.7725275,32,1.091241,0.067547
1782920759.8058553,33,1.253604,-0.391706
1782920759.8058553,32,1.097682,0.068611
1782920761.238987,33,1.291958,-0.394321
1782920761.238987,32,1.070443,0.070447
1782920762.738776,33,1.248426,-0.397770
1782920762.738776,32,1.030894,0.069774
1782920764.6250412,40,0.275604,0.121273
1782920766.391459,40,0.287005,-0.075284
1782920770.8908248,40,0.287005,-0.075284
1782920771.8573558,40,0.287005,-0.075284
1782920775.9901407,40,0.287005,-0.075284
1782920781.05605,40,0.287005,-0.075284
1782920782.155892,40,0.287005,-0.075284
1782920782.9557798,40,0.287005,-0.075284
1782920784.1222816,40,0.287005,-0.075284
1782920785.4554276,40,0.287005,-0.075284
1782920786.755245,40,0.287005,-0.075284
1782920788.0217333,40,0.287005,-0.075284
1782920788.9216254,40,0.287921,-0.076042
1782920790.121456,40,0.289311,-0.077149
1782920791.3212879,40,0.289311,-0.077149
1782920792.5544472,40,0.288931,-0.072161
1782920793.820936,40,0.288931,-0.072161
1782920795.020767,40,0.288931,-0.072161
1782920796.2205975,40,0.288931,-0.072161
1782920797.420478,40,0.288931,-0.072161
1782920798.3870087,40,0.287919,-0.074948
1782920799.3202112,40,0.289311,-0.077149
1782920800.2534137,40,0.289311,-0.077149
1782920801.0532997,40,0.286032,0.094488
1782920802.2531312,40,0.284249,0.114477
1782920803.0530186,40,0.279995,-0.181559
1782920807.2192745,3,0.377076,0.309063
1782920808.4524343,3,0.332432,-0.276126
1782920810.8520966,33,1.072035,0.085280
1782920812.051876,33,1.309280,-0.402009
1782920812.7851055,33,1.288948,-0.400440
1782920812.7851055,32,1.029734,0.057168
1782920813.9516077,33,1.278452,-0.401495
1782920813.9516077,32,1.023527,0.052587
1782920815.051453,33,1.269258,-0.405605
1782920815.051453,32,0.954998,0.055007
1782920816.0846431,32,0.899913,0.058914
1782920817.2178144,32,0.819085,0.063145
1782920818.051031,32,0.775143,0.067646
1782920819.2841907,32,0.692573,0.077184
1782920819.9840922,32,0.650415,0.079975
1782920821.183901,32,0.550401,0.090173
1782920822.3504028,32,0.438033,0.111060
1782920823.6168911,32,0.384597,0.144792
1782920824.7500648,32,0.350652,0.156830
1782920825.8499107,32,0.335522,0.020598
1782920826.8497696,32,0.346400,-0.072971
1782920827.5830026,32,0.335279,0.085088
1782920828.8828743,33,0.810301,-0.390774
1782920831.3825219,33,0.808913,0.386377
1782920832.6156824,33,0.816143,0.393049
1782920844.3473892,23,1.406197,-0.367242
1782920846.14725,57,1.278955,-0.288058
1782920846.980466,23,1.487623,0.107473
1782920846.980466,57,1.325433,-0.286488
1782920848.1802967,23,1.430709,0.109545
1782920848.1802967,57,1.424835,-0.296872
1782920849.346799,23,1.434392,0.112287
1782920849.346799,57,1.457511,-0.302175
1782920850.080029,23,1.341862,0.115924
