time,x,y,theta
1778594557.5643058,-0.333582,1.185920,-3.026055
1778594557.614147,-0.333486,1.185771,-3.039204
1778594557.663125,-0.333423,1.185800,-3.052974
1778594557.711372,-0.333281,1.185690,-3.066624
1778594557.7612977,-0.333196,1.185571,-3.080412
1778594557.803244,-0.333095,1.185568,-3.092248
1778594557.870822,-0.332857,1.185533,-3.110403
1778594557.9208276,-0.332628,1.185478,-3.122563
1778594557.963256,-0.332673,1.185324,-3.132727
1778594558.0131564,-0.332653,1.185080,3.136856
1778594558.0632405,-0.332536,1.185015,3.123387
1778594558.1112266,-0.332352,1.184939,3.110248
1778594558.1612785,-0.332174,1.184855,3.097829
1778594558.2230082,-0.332044,1.184778,3.081843
1778594558.271013,-0.331917,1.184756,3.068582
1778594558.302666,-0.331805,1.184692,3.060690
1778594558.3633022,-0.331605,1.184719,3.044984
1778594558.4121366,-0.331505,1.184640,3.031959
1778594558.4631433,-0.331325,1.184550,3.017669
1778594558.5112097,-0.331261,1.184292,3.005303
1778594558.56012,-0.331176,1.184019,2.992542
1778594558.603168,-0.331054,1.183969,2.981167
1778594558.6702733,-0.330803,1.183849,2.964553
1778594558.7025232,-0.330757,1.183793,2.955462
1778594558.7631562,-0.330636,1.183597,2.938299
1778594558.8122237,-0.330601,1.183439,2.923608
1778594558.863136,-0.330564,1.183341,2.909701
1778594558.910147,-0.330317,1.183145,2.898207
1778594558.9603283,-0.330156,1.183039,2.887110
1778594559.0031466,-0.329954,1.183007,2.876454
1778594559.0519881,-0.329859,1.182951,2.863439
1778594559.102104,-0.329771,1.182806,2.849768
1778594559.163174,-0.329911,1.182440,2.833201
1778594559.2121327,-0.330023,1.182249,2.819479
1778594559.2621593,-0.329812,1.182107,2.806781
1778594559.3101304,-0.329655,1.182019,2.794527
1778594559.3601315,-0.329571,1.181942,2.781861
1778594559.4226584,-0.329503,1.181789,2.765589
1778594559.4527924,-0.329422,1.181737,2.757279
1778594559.519904,-0.329254,1.181512,2.739496
1778594559.5633218,-0.329260,1.181359,2.727391
1778594559.6131358,-0.329212,1.181109,2.714247
1778594559.663143,-0.329114,1.180891,2.701714
1778594559.7141795,-0.328931,1.180838,2.689006
1778594559.760118,-0.328849,1.180715,2.677201
1778594559.8031454,-0.328866,1.180511,2.664722
1778594559.8525805,-0.328955,1.180220,2.651146
1778594559.903258,-0.329073,1.179970,2.637806
1778594559.9624407,-0.329088,1.179739,2.622297
1778594560.0132384,-0.329041,1.179611,2.609184
1778594560.0631635,-0.328954,1.179427,2.596015
1778594560.1141427,-0.328785,1.179302,2.582621
1778594560.1591704,-0.328631,1.179240,2.569408
1778594560.2032197,-0.328558,1.179065,2.557376
1778594560.2527285,-0.328434,1.178931,2.544332
1778594560.3186994,-0.328515,1.178603,2.526581
1778594560.3631814,-0.328613,1.178422,2.515031
1778594560.413144,-0.328753,1.178274,2.502722
1778594560.4631712,-0.328686,1.178112,2.489978
1778594560.51415,-0.328527,1.178018,2.476209
1778594560.5591247,-0.328339,1.177882,2.463786
1778594560.602613,-0.328280,1.177687,2.452169
1778594560.6528134,-0.328458,1.177605,2.438640
1778594560.7191873,-0.328685,1.177331,2.421159
1778594560.763206,-0.328793,1.177294,2.409777
1778594560.8131738,-0.328785,1.177095,2.396709
1778594560.8631587,-0.328713,1.176912,2.383329
1778594560.913186,-0.328618,1.176753,2.369720
1778594560.9591305,-0.328643,1.176542,2.358544
1778594561.0032322,-0.328785,1.176406,2.346870
1778594561.0531895,-0.329020,1.176239,2.334213
1778594561.1185448,-0.329200,1.176119,2.316694
1778594561.1632104,-0.329205,1.176062,2.305004
1778594561.2131515,-0.329208,1.175842,2.291681
1778594561.2631683,-0.329046,1.175701,2.277693
1778594561.3131657,-0.328939,1.175492,2.264735
1778594561.359125,-0.329005,1.175300,2.252719
1778594561.4032328,-0.329036,1.175121,2.241763
1778594561.4532406,-0.329028,1.174953,2.228845
1778594561.5188942,-0.328942,1.174930,2.211361
1778594561.5632682,-0.328965,1.174744,2.199110
1778594561.6133306,-0.329012,1.174603,2.184975
1778594561.6641645,-0.329115,1.174391,2.171071
1778594561.7131574,-0.329255,1.174182,2.158055
1778594561.7581315,-0.329233,1.173922,2.145755
1778594561.8031995,-0.329304,1.173776,2.134875
1778594561.8532937,-0.329561,1.173785,2.123132
1778594561.9027886,-0.329692,1.173665,2.109925
1778594561.9632041,-0.329882,1.173550,2.093398
1778594562.0132358,-0.330197,1.173316,2.079792
1778594562.0631828,-0.330442,1.173262,2.066999
1778594562.1131566,-0.330424,1.173099,2.053464
1778594562.1581683,-0.330423,1.172964,2.042178
1778594562.2032418,-0.330460,1.172904,2.030409
1778594562.2726023,-0.330474,1.172654,2.010885
1778594562.3030562,-0.330444,1.172574,2.002787
1778594562.3632002,-0.330584,1.172299,1.985993
1778594562.4131918,-0.330795,1.172088,1.972251
1778594562.4631884,-0.331029,1.171978,1.958301
1778594562.51319,-0.331160,1.171799,1.946040
1778594562.564137,-0.331152,1.171788,1.934313
1778594562.6032877,-0.331080,1.171744,1.924545
1778594562.6532016,-0.330942,1.171542,1.910287
1778594562.7232716,-0.330944,1.171302,1.890103
1778594562.7633758,-0.331050,1.171083,1.879414
1778594562.8131795,-0.331277,1.170908,1.865465
1778594562.863191,-0.331632,1.170722,1.852413
1778594562.9131792,-0.332044,1.170755,1.840878
1778594562.9641533,-0.332390,1.170801,1.829023
1778594563.003294,-0.332574,1.170778,1.818367
1778594563.0531821,-0.332781,1.170712,1.803159
1778594563.1243567,-0.332992,1.170286,1.783237
1778594563.1632125,-0.333175,1.170200,1.772451
