time,x,y,theta
1782920759.1120527,0.296619,-1.259114,-0.848376
1782920759.1630595,0.296619,-1.259113,-0.848383
1782920759.202132,0.296619,-1.259113,-0.848383
1782920759.252729,0.296620,-1.259109,-0.848410
1782920759.3230948,0.296619,-1.259116,-0.848364
1782920759.3618932,0.296619,-1.259116,-0.848364
1782920759.412444,0.296620,-1.259106,-0.848440
1782920759.4618745,0.296620,-1.259106,-0.848440
1782920759.5114195,0.296620,-1.259106,-0.848437
1782920759.5617394,0.296619,-1.259114,-0.848376
1782920759.6213028,0.296621,-1.259101,-0.848479
1782920759.6526334,0.296621,-1.259101,-0.848474
1782920759.723032,0.296620,-1.259105,-0.848444
1782920759.7614408,0.296620,-1.259105,-0.848444
1782920759.811281,0.296620,-1.259105,-0.848444
1782920759.861543,0.296620,-1.259105,-0.848444
1782920759.911204,0.296620,-1.259105,-0.848444
1782920759.9612265,0.296661,-1.259139,-0.848631
1782920760.0013826,0.297322,-1.260037,-0.850689
1782920760.0530174,0.298423,-1.261253,-0.851973
1782920760.1221557,0.299739,-1.262796,-0.851973
1782920760.162018,0.300431,-1.263570,-0.851973
1782920760.2130125,0.301347,-1.264683,-0.851847
1782920760.2620518,0.302318,-1.265824,-0.851848
1782920760.3120704,0.303363,-1.267030,-0.851303
1782920760.3620372,0.304328,-1.268059,-0.851303
1782920760.4215407,0.305527,-1.269315,-0.851303
1782920760.4531758,0.306073,-1.270008,-0.851303
1782920760.521776,0.307331,-1.271406,-0.851303
1782920760.5620203,0.308073,-1.272266,-0.851303
1782920760.6129923,0.309047,-1.273332,-0.850933
1782920760.661958,0.310040,-1.274376,-0.850836
1782920760.711966,0.310923,-1.275362,-0.850590
1782920760.7619855,0.311846,-1.276337,-0.849824
1782920760.8033855,0.312604,-1.277219,-0.850081
1782920760.852938,0.313555,-1.278303,-0.850385
1782920760.9214964,0.314854,-1.279755,-0.850618
1782920760.961893,0.315621,-1.280649,-0.850586
1782920761.0133944,0.316517,-1.281612,-0.849791
1782920761.0614982,0.317360,-1.282626,-0.849723
1782920761.1116984,0.318308,-1.283714,-0.849680
1782920761.1619031,0.319183,-1.284717,-0.850022
1782920761.2215662,0.320347,-1.286090,-0.850046
1782920761.252548,0.320872,-1.286707,-0.850078
1782920761.323011,0.322076,-1.288162,-0.850660
1782920761.3615198,0.322924,-1.289114,-0.850757
1782920761.412274,0.323902,-1.290207,-0.851018
1782920761.4613686,0.324816,-1.291234,-0.849751
1782920761.5112581,0.325714,-1.292203,-0.849215
1782920761.5615351,0.326639,-1.293276,-0.849477
1782920761.6019082,0.327472,-1.294275,-0.849721
1782920761.6525173,0.328432,-1.295285,-0.850377
1782920761.7212534,0.329890,-1.296918,-0.851326
1782920761.7622526,0.330767,-1.297956,-0.852577
1782920761.8131044,0.331673,-1.298959,-0.853694
1782920761.8648944,0.332473,-1.299771,-0.852016
1782920761.9119022,0.333158,-1.300530,-0.849302
1782920761.9620526,0.333978,-1.301441,-0.847066
1782920762.0041416,0.334913,-1.302489,-0.848132
1782920762.0535603,0.335944,-1.303568,-0.849445
1782920762.1218858,0.337073,-1.304840,-0.849261
1782920762.1640012,0.337927,-1.305694,-0.849046
1782920762.2140124,0.338870,-1.306764,-0.848081
1782920762.2639096,0.339871,-1.307915,-0.847996
1782920762.3109014,0.340772,-1.309061,-0.849154
1782920762.3608904,0.341545,-1.309972,-0.849820
1782920762.404157,0.342329,-1.310812,-0.849460
1782920762.4539878,0.343068,-1.311688,-0.849019
1782920762.5204709,0.343013,-1.311651,-0.847186
1782920762.562934,0.342948,-1.311497,-0.846432
1782920762.613002,0.342908,-1.311576,-0.845611
1782920762.662942,0.342910,-1.311557,-0.845754
1782920762.7111397,0.342911,-1.311553,-0.845783
